'Air Quality Statistics by City,2021'
'Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and,for some pollutants,may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 4,2022.'
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
'Somerset,PA',77742.00,43740.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Sonora,CA',55365.00,43760.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'South Bend-Mishawaka,IN-MI',319224.00,43780.00,ND,ND,5.00,IN,0.07,ND,10.00,24.00,ND
'Spartanburg,SC',313268.00,43900.00,ND,ND,ND,ND,0.06,ND,8.60,22.00,ND
'Spokane-Spokane Valley,WA',527753.00,44060.00,ND,ND,ND,ND,0.07,138.00,11.40,61.00,ND
'Springfield,IL',210170.00,44100.00,ND,ND,ND,ND,0.06,ND,8.70,22.00,ND
'Springfield,MA',621570.00,44140.00,ND,ND,9.00,40.00,0.06,25.00,6.60,18.00,2.00
'Springfield,MO',436712.00,44180.00,ND,ND,ND,ND,0.06,40.00,IN,IN,ND
'Springfield,OH',138333.00,44220.00,ND,ND,ND,ND,0.07,ND,9.60,22.00,ND
'State College,PA',153990.00,44300.00,ND,ND,3.00,IN,0.07,ND,8.20,19.00,IN
'Steamboat Springs,CO',23509.00,44460.00,ND,ND,ND,ND,ND,69.00,IN,IN,ND
'Stillwater,OK',77350.00,44660.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Stockton-Lodi,CA',685306.00,44700.00,1.00,ND,10.00,27.00,0.07,162.00,12.10,40.00,ND
'Summerville,GA',26015.00,44900.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Syracuse,NY',662577.00,45060.00,ND,ND,ND,ND,0.07,ND,6.60,18.00,1.00
'Tahlequah,OK',46987.00,45140.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Talladega-Sylacauga,AL',93830.00,45180.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Tallahassee,FL',367413.00,45220.00,0.00,ND,ND,ND,0.06,ND,7.00,14.00,4.00
'Tampa-St. Petersburg-Clearwater,FL',2783243.00,45300.00,1.00,0.08,9.00,37.00,0.06,61.00,8.50,18.00,29.00
'Taos,NM',32937.00,45340.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Terre Haute,IN',172425.00,45460.00,ND,ND,ND,ND,0.06,ND,9.60,24.00,4.00
'Texarkana,TX-AR',149198.00,45500.00,ND,ND,ND,ND,ND,ND,10.20,24.00,ND
'The Dalles,OR',25213.00,45520.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Toledo,OH',610001.00,45780.00,ND,0.07,ND,ND,0.07,ND,8.90,22.00,IN
'Topeka,KS',233870.00,45820.00,ND,ND,ND,ND,0.06,78.00,10.30,27.00,ND
'Torrington,CT',189927.00,45860.00,1.00,ND,ND,ND,0.07,68.00,5.60,15.00,1.00
'Traverse City,MI',143372.00,45900.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Trenton,NJ',366513.00,45940.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Troy,AL',32899.00,45980.00,ND,0.09,ND,ND,ND,ND,ND,ND,ND
'Truckee-Grass Valley,CA',98764.00,46020.00,ND,ND,ND,ND,0.09,ND,8.70,74.00,ND
'Tucson,AZ',980263.00,46060.00,1.00,ND,8.00,38.00,0.07,249.00,6.60,14.00,1.00
'Tulsa,OK',937478.00,46140.00,1.00,ND,7.00,38.00,0.07,99.00,10.10,29.00,5.00
'Tupelo,MS',136268.00,46180.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Tuscaloosa,AL',230162.00,46220.00,ND,ND,ND,ND,0.05,ND,7.80,20.00,ND
'Twin Falls,ID',99604.00,46300.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Tyler,TX',209714.00,46340.00,ND,ND,1.00,11.00,0.07,ND,ND,ND,ND
'Ukiah,CA',87841.00,46380.00,ND,ND,ND,ND,0.06,44.00,10.10,33.00,ND
'Urban Honolulu,HI',953207.00,46520.00,2.00,ND,3.00,22.00,0.05,34.00,3.30,6.00,44.00
'Utica-Rome,NY',299397.00,46540.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Valdosta,GA',139588.00,46660.00,ND,ND,ND,ND,ND,ND,8.50,21.00,ND
'Vallejo-Fairfield,CA',413344.00,46700.00,2.00,ND,6.00,IN,0.07,47.00,8.40,24.00,4.00
'Vernal,UT',32588.00,46860.00,ND,ND,4.00,26.00,0.07,ND,7.30,27.00,ND
'Vicksburg,MS',58377.00,46980.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Victoria,TX',94003.00,47020.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Vincennes,IN',38440.00,47180.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Vineland-Bridgeton,NJ',156898.00,47220.00,ND,ND,6.00,34.00,0.07,ND,IN,IN,ND
'Vineyard Haven,MA',16535.00,47240.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Virginia Beach-Norfolk-Newport News,VA-NC',1676822.00,47260.00,1.00,ND,7.00,40.00,0.06,44.00,7.20,16.00,3.00
'Visalia-Porterville,CA',442179.00,47300.00,ND,ND,8.00,39.00,0.09,198.00,20.70,69.00,ND
'Wabash,IN',32888.00,47340.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Waco,TX',252772.00,47380.00,1.00,ND,ND,ND,0.07,ND,IN,IN,7.00
'Walla Walla,WA',62859.00,47460.00,ND,ND,ND,ND,0.06,129.00,IN,IN,ND
'Walterboro,SC',5401.00,47500.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Warner Robins,GA',179605.00,47580.00,ND,ND,ND,ND,ND,ND,9.60,26.00,ND
'Warren,PA',41815.00,47620.00,ND,ND,ND,ND,ND,ND,ND,ND,42.00
'Washington,IN',31648.00,47780.00,ND,ND,ND,ND,ND,ND,ND,ND,IN
'Washington,NC',47759.00,47820.00,ND,ND,ND,ND,ND,ND,ND,ND,13.00
'Washington-Arlington-Alexandria,DC-VA-MD-WV',5636232.00,47900.00,2.00,ND,15.00,50.00,0.07,47.00,9.60,21.00,3.00
'Washington Court House,OH',29030.00,47920.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Waterloo-Cedar Falls,IA',167819.00,47940.00,ND,ND,ND,ND,0.06,ND,8.60,25.00,ND
'Watertown,SD',27227.00,47980.00,ND,ND,ND,ND,0.07,143.00,9.20,29.00,ND
'Watertown-Fort Atkinson,WI',83686.00,48020.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'Watertown-Fort Drum,NY',116229.00,48060.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Wausau,WI',134063.00,48140.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Weatherford,OK',27469.00,48220.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Weirton-Steubenville,WV-OH',124454.00,48260.00,ND,ND,ND,ND,0.07,63.00,11.70,30.00,94.00
'Wenatchee,WA',110884.00,48300.00,ND,ND,ND,ND,ND,ND,IN,IN,1.00
'West Plains,MO',40400.00,48460.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Wheeling,WV-OH',147950.00,48540.00,ND,ND,5.00,30.00,0.06,65.00,11.00,27.00,10.00
'Whitewater-Elkhorn,WI',102228.00,48580.00,ND,ND,ND,ND,0.07,ND,ND,ND,ND
'Wichita,KS',630919.00,48620.00,ND,ND,7.00,39.00,0.07,89.00,11.30,31.00,4.00
'Williamsport,PA',116111.00,48700.00,ND,ND,ND,ND,0.06,ND,8.60,21.00,ND
'Williston,ND',22398.00,48780.00,ND,ND,ND,ND,ND,ND,IN,IN,18.00
'Willmar,MN',42239.00,48820.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Wilmington,NC',254884.00,48900.00,ND,ND,ND,ND,0.06,41.00,4.80,13.00,ND
'Wilmington,OH',42040.00,48940.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Winchester,VA-WV',128472.00,49020.00,ND,ND,ND,ND,0.06,46.00,8.60,21.00,ND
'Winona,MN',51461.00,49100.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Winston-Salem,NC',640595.00,49180.00,ND,ND,6.00,32.00,0.07,41.00,9.20,41.00,4.00
'Wisconsin Rapids-Marshfield,WI',74749.00,49220.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Worcester,MA-CT',916980.00,49340.00,1.00,ND,9.00,44.00,0.07,31.00,9.10,19.00,2.00
'Yakima,WA',243231.00,49420.00,ND,ND,ND,ND,ND,123.00,11.50,69.00,ND
'York-Hanover,PA',434972.00,49620.00,ND,ND,8.00,40.00,0.06,ND,10.70,26.00,15.00
'Youngstown-Warren-Boardman,OH-PA',565773.00,49660.00,ND,ND,ND,ND,0.07,36.00,8.80,23.00,IN
'Yuba City,CA',166892.00,49700.00,ND,ND,5.00,34.00,0.08,107.00,14.50,45.00,ND
'Yuma,AZ',195751.00,49740.00,ND,ND,ND,ND,0.07,199.00,9.30,19.00,ND
